6.70 5.07 98.22 90 24.29 96.42 1
6.58 4.95 87.63 80 26.27 85.92 1
6.81 4.93 94.57 90 15.19 94.27 1
6.82 4.87 90.38 83 8.10 90.57 0
6.70 4.86 89.96 83 21.55 89.81 1
7.19 4.89 96.72 90 12.06 96.37 1
6.76 4.73 85.84 80 26.10 84.37 1
7.01 4.69 87.68 80 17.12 86.43 1
7.31 4.68 90.01 82 26.18 89.41 1
6.21 4.81 80.47 72 10.25 80.04 1
6.53 4.58 76.82 70 20.14 75.94 1
5.87 4.57 67.83 61 15.02 67.13 1
6.18 4.57 71.17 63 26.03 70.45 1
6.19 4.50 70.07 65 24.35 69.43 1
5.75 4.67 69.04 67 10.08 68.81 0
6.04 4.48 67.27 60 8.07 66.68 0
6.06 4.57 70.64 68 12.23 70.59 1
6.11 4.51 68.76 64 17.25 67.76 1
6.81 4.41 72.14 69 20.04 70.51 1
5.89 4.60 67.85 61 22.00 65.90 1
5.38 4.02 44.33 41 24.17 44.69 1
5.37 3.99 44.76 40 10.17 44.73 0
5.21 3.94 42.97 39 19.58 42.95 1
5.44 3.96 44.41 40 8.05 44.39 0
5.52 4.04 50.16 50 12.15 50.14 1
5.12 4.05 43.21 42 26.15 43.21 1
5.19 4.01 45.21 42 15.07 45.19 1
5.27 4.07 46.57 44 17.05 46.55 1
5.59 3.83 40.81 41 26.50 37.77 1
5.35 4.05 46.19 45 21.97 46.19 1
5.41 3.98 43.91 45 12.00 43.90 1
5.41 3.98 43.45 43 3.58 43.43 0
5.78 4.26 54.32 57 11.00 54.88 1
5.65 4.29 53.38 54 5.00 53.37 0
5.62 4.03 50.67 49 9.00 50.63 0
5.75 4.26 54.27 55 10.00 54.26 0
5.71 4.25 54.54 56 6.00 54.51 0
5.87 4.32 56.50 58 7.05 56.65 0
5.65 4.25 53.67 55 8.01 53.65 0
